time_s,throttle,throttle_delta,brake,speed,accel_x
482.9100,0.6568,-0.0314,0.0000,27.3901,0.4078
482.9200,0.6568,-0.0314,0.0000,27.3860,0.4061
482.9300,0.6568,-0.0314,0.0000,27.3819,0.4051
482.9400,0.6568,-0.0314,0.0000,27.3779,0.4005
482.9500,0.6568,-0.0314,0.0000,27.3739,0.3988
482.9600,0.6568,-0.0314,0.0000,27.3699,0.4021
482.9700,0.6568,-0.0314,0.0000,27.3659,0.4051
482.9800,0.6568,-0.0314,0.0000,27.3618,0.4063
482.9900,0.6568,-0.0314,0.0000,27.3577,0.4076
483.0000,0.6568,-0.0314,0.0000,27.3537,0.4078
483.0100,0.6568,-0.0314,0.0000,27.3496,0.4076
483.0200,0.6568,-0.0314,0.0000,27.3455,0.4078
483.0300,0.6568,-0.0314,0.0000,27.3414,0.4078
483.0400,0.6568,-0.0314,0.0000,27.3374,0.4076
483.0500,0.6568,-0.0314,0.0000,27.3333,0.4063
483.0600,0.6568,-0.0314,0.0000,27.3292,0.4053
483.0700,0.6568,-0.0314,0.0000,27.3252,0.4053
483.0800,0.6568,-0.0314,0.0000,27.3211,0.4042
483.0900,0.6568,-0.0314,0.0000,27.3173,0.3878
483.1000,0.6568,-0.0314,0.0000,27.3135,0.3811
483.1100,0.6568,-0.0314,0.0000,27.3097,0.3759
483.1200,0.6568,-0.0314,0.0000,27.3060,0.3719
483.1300,0.6568,-0.0314,0.0000,27.3023,0.3683
483.1400,0.6568,-0.0314,0.0000,27.2986,0.3658
483.1500,0.6568,-0.0314,0.0000,27.2950,0.3637
483.1600,0.6568,-0.0314,0.0000,27.2914,0.3616
483.1700,0.6568,-0.0314,0.0000,27.2878,0.3613
483.1800,0.6568,-0.0314,0.0000,27.2842,0.3595
483.1900,0.6568,-0.0314,0.0000,27.2806,0.3590
483.2000,0.6568,-0.0314,0.0000,27.2770,0.3542
483.2100,0.6568,-0.0314,0.0000,27.2735,0.3574
483.2200,0.6568,-0.0314,0.0000,27.2699,0.3592
483.2300,0.6568,-0.0314,0.0000,27.2663,0.3614
483.2400,0.6568,-0.0314,0.0000,27.2626,0.3613
483.2500,0.6568,-0.0314,0.0000,27.2590,0.3613
483.2600,0.6568,-0.0314,0.0000,27.2554,0.3614
483.2700,0.6568,-0.0314,0.0000,27.2518,0.3613
483.2800,0.6568,-0.0314,0.0000,27.2482,0.3614
483.2900,0.6568,-0.0314,0.0000,27.2446,0.3593
483.3000,0.6568,-0.0314,0.0000,27.2410,0.3588
483.3100,0.6568,-0.0314,0.0000,27.2374,0.3588
483.3200,0.6568,-0.0314,0.0000,27.2339,0.3571
483.3300,0.6568,-0.0314,0.0000,27.2303,0.3565
483.3400,0.6568,-0.0314,0.0000,27.2268,0.3519
483.3500,0.6568,-0.0314,0.0000,27.2234,0.3410
483.3600,0.6568,-0.0314,0.0000,27.2200,0.3344
483.3700,0.6568,-0.0314,0.0000,27.2167,0.3286
