time_s,throttle,throttle_delta,brake,speed,accel_x
9.2300,0.2635,-0.0118,0.0000,5.5331,-0.0122
9.2400,0.2635,-0.0118,0.0000,5.5332,-0.0078
9.2500,0.2635,-0.0118,0.0000,5.5331,0.0028
9.2600,0.2635,-0.0118,0.0000,5.5330,0.0122
9.2700,0.2635,-0.0118,0.0000,5.5328,0.0206
9.2800,0.2635,-0.0118,0.0000,5.5325,0.0281
9.2900,0.2635,-0.0118,0.0000,5.5322,0.0350
9.3000,0.2635,-0.0118,0.0000,5.5318,0.0406
9.3100,0.2635,-0.0118,0.0000,5.5313,0.0460
9.3200,0.2635,-0.0118,0.0000,5.5308,0.0506
9.3300,0.2635,-0.0118,0.0000,5.5303,0.0547
9.3400,0.2635,-0.0118,0.0000,5.5297,0.0584
9.3500,0.2635,-0.0118,0.0000,5.5291,0.0616
9.3600,0.2635,-0.0118,0.0000,5.5284,0.0643
9.3700,0.2635,-0.0118,0.0000,5.5278,0.0669
9.3800,0.2635,-0.0118,0.0000,5.5271,0.0691
9.3900,0.2635,-0.0118,0.0000,5.5264,0.0710
9.4000,0.2635,-0.0118,0.0000,5.5256,0.0728
9.4100,0.2635,-0.0118,0.0000,5.5249,0.0741
9.4200,0.2635,-0.0118,0.0000,5.5241,0.0755
9.4300,0.2635,-0.0118,0.0000,5.5234,0.0766
9.4400,0.2635,-0.0118,0.0000,5.5226,0.0776
9.4500,0.2635,-0.0118,0.0000,5.5218,0.0784
9.4600,0.2635,-0.0118,0.0000,5.5210,0.0791
9.4700,0.2635,-0.0118,0.0000,5.5202,0.0798
9.4800,0.2635,-0.0118,0.0000,5.5194,0.0802
9.4900,0.2635,-0.0118,0.0000,5.5186,0.0805
9.5000,0.2635,-0.0118,0.0000,5.5178,0.0812
9.5100,0.2635,-0.0118,0.0000,5.5170,0.0812
9.5200,0.2635,-0.0118,0.0000,5.5162,0.0817
9.5300,0.2635,-0.0118,0.0000,5.5153,0.0818
9.5400,0.2635,-0.0118,0.0000,5.5145,0.0818
9.5500,0.2635,-0.0118,0.0000,5.5137,0.0818
9.5600,0.2635,-0.0118,0.0000,5.5129,0.0818
9.5700,0.2635,-0.0118,0.0000,5.5121,0.0818
9.5800,0.2635,-0.0118,0.0000,5.5113,0.0818
9.5900,0.2635,-0.0118,0.0000,5.5104,0.0818
9.6000,0.2635,-0.0118,0.0000,5.5096,0.0818
9.6100,0.2635,-0.0118,0.0000,5.5088,0.0818
9.6200,0.2635,-0.0118,0.0000,5.5080,0.0818
9.6300,0.2635,-0.0118,0.0000,5.5072,0.0817
9.6400,0.2635,-0.0118,0.0000,5.5064,0.0812
9.6500,0.2635,-0.0118,0.0000,5.5055,0.0812
9.6600,0.2635,-0.0118,0.0000,5.5047,0.0812
9.6700,0.2635,-0.0118,0.0000,5.5039,0.0810
9.6800,0.2635,-0.0118,0.0000,5.5031,0.0805
9.6900,0.2635,-0.0118,0.0000,5.5023,0.0806
9.7000,0.2635,-0.0118,0.0000,5.5015,0.0804
9.7100,0.2635,-0.0118,0.0000,5.5007,0.0800
9.7200,0.2635,-0.0118,0.0000,5.4999,0.0800
9.7300,0.2635,-0.0118,0.0000,5.4991,0.0798
9.7400,0.2635,-0.0118,0.0000,5.4983,0.0793
9.7500,0.2635,-0.0118,0.0000,5.4975,0.0793
9.7600,0.2635,-0.0118,0.0000,5.4967,0.0790
9.7700,0.2635,-0.0118,0.0000,5.4959,0.0787
9.7800,0.2635,-0.0118,0.0000,5.4952,0.0787
9.7900,0.2635,-0.0118,0.0000,5.4944,0.0782
9.8000,0.2635,-0.0118,0.0000,5.4936,0.0781
9.8100,0.2635,-0.0118,0.0000,5.4928,0.0780
9.8200,0.2635,-0.0118,0.0000,5.4920,0.0775
9.8300,0.2635,-0.0118,0.0000,5.4913,0.0774
9.8400,0.2635,-0.0118,0.0000,5.4905,0.0771
9.8500,0.2635,-0.0118,0.0000,5.4897,0.0769
9.8600,0.2635,-0.0118,0.0000,5.4890,0.0767
9.8700,0.2635,-0.0118,0.0000,5.4882,0.0763
9.8800,0.2635,-0.0118,0.0000,5.4874,0.0763
9.8900,0.2635,-0.0118,0.0000,5.4867,0.0758
9.9000,0.2635,-0.0118,0.0000,5.4859,0.0757
9.9100,0.2635,-0.0118,0.0000,5.4852,0.0756
9.9200,0.2635,-0.0118,0.0000,5.4844,0.0751
9.9300,0.2635,-0.0118,0.0000,5.4837,0.0751
9.9400,0.2635,-0.0118,0.0000,5.4829,0.0746
9.9500,0.2635,-0.0118,0.0000,5.4822,0.0744
9.9600,0.2635,-0.0118,0.0000,5.4814,0.0744
9.9700,0.2635,-0.0118,0.0000,5.4807,0.0738
9.9800,0.2635,-0.0118,0.0000,5.4800,0.0739
9.9900,0.2635,-0.0118,0.0000,5.4792,0.0734
10.0000,0.2635,-0.0118,0.0000,5.4785,0.0732
10.0100,0.2635,-0.0118,0.0000,5.4778,0.0732
10.0200,0.2635,-0.0118,0.0000,5.4770,0.0726
10.0300,0.2635,-0.0118,0.0000,5.4763,0.0726
10.0400,0.2635,-0.0118,0.0000,5.4756,0.0724
10.0500,0.2635,-0.0118,0.0000,5.4749,0.0721
10.0600,0.2635,-0.0118,0.0000,5.4741,0.0720
10.0700,0.2635,-0.0118,0.0000,5.4734,0.0715
10.0800,0.2635,-0.0118,0.0000,5.4727,0.0714
10.0900,0.2635,-0.0118,0.0000,5.4720,0.0712
10.1000,0.2635,-0.0118,0.0000,5.4713,0.0708
10.1100,0.2635,-0.0118,0.0000,5.4706,0.0708
10.1200,0.2635,-0.0118,0.0000,5.4699,0.0704
10.1300,0.2635,-0.0118,0.0000,5.4692,0.0702
10.1400,0.2635,-0.0118,0.0000,5.4685,0.0702
10.1500,0.2635,-0.0118,0.0000,5.4678,0.0696
10.1600,0.2635,-0.0118,0.0000,5.4671,0.0696
10.1700,0.2635,-0.0118,0.0000,5.4664,0.0694
10.1800,0.2635,-0.0118,0.0000,5.4657,0.0690
10.1900,0.2635,-0.0118,0.0000,5.4650,0.0690
10.2000,0.2635,-0.0118,0.0000,5.4643,0.0686
10.2100,0.2635,-0.0118,0.0000,5.4636,0.0683
