wall_time_s,ros_time_s,free_heap_bytes,min_ever_free_heap_bytes,uros_stack_free_bytes,ctrl_stack_free_bytes,microros_alloc_count,microros_free_count,microros_realloc_count,microros_calloc_count,microros_used_bytes,microros_total_allocated_bytes,free_heap_bytes_rx_age_ms,min_ever_free_heap_bytes_rx_age_ms,uros_stack_free_bytes_rx_age_ms,ctrl_stack_free_bytes_rx_age_ms,microros_alloc_count_rx_age_ms,microros_free_count_rx_age_ms,microros_realloc_count_rx_age_ms,microros_calloc_count_rx_age_ms,microros_used_bytes_rx_age_ms,microros_total_allocated_bytes_rx_age_ms
88.004852,1769962353.288427,,,,,,,,,,,,,,,,,,,,
89.004846,1769962354.288419,,,,,,,,,,,,,,,,,,,,
90.004863,1769962355.288437,,,,,,,,,,,,,,,,,,,,
91.004781,1769962356.288354,,,,,,,,,,,,,,,,,,,,
92.004862,1769962357.288437,,,,,,,,,,,,,,,,,,,,
93.004867,1769962358.288441,,,,,,,,,,,,,,,,,,,,
94.004848,1769962359.288421,,,,,,,,,,,,,,,,,,,,
95.004847,1769962360.288421,,,,,,,,,,,,,,,,,,,,
96.004851,1769962361.288424,,,,,,,,,,,,,,,,,,,,
97.004848,1769962362.288421,,,,,,,,,,,,,,,,,,,,
98.004863,1769962363.288436,,,,,,,,,,,,,,,,,,,,
99.004852,1769962364.288426,,,,,,,,,,,,,,,,,,,,
100.004819,1769962365.288392,,,,,,,,,,,,,,,,,,,,
101.005046,1769962366.288625,,,,,,,,,,,,,,,,,,,,
102.004848,1769962367.288421,,,,,,,,,,,,,,,,,,,,
103.004841,1769962368.288414,,,,,,,,,,,,,,,,,,,,
104.004851,1769962369.288425,,,,,,,,,,,,,,,,,,,,
105.005199,1769962370.288774,,,,,,,,,,,,,,,,,,,,
106.004892,1769962371.288466,,,,,,,,,,,,,,,,,,,,
107.004856,1769962372.288430,,,,,,,,,,,,,,,,,,,,
108.004855,1769962373.288429,,,,,,,,,,,,,,,,,,,,
109.004823,1769962374.288396,,,,,,,,,,,,,,,,,,,,
110.004839,1769962375.288413,,,,,,,,,,,,,,,,,,,,
111.004882,1769962376.288455,,,,,,,,,,,,,,,,,,,,
112.004818,1769962377.288392,,,,,,,,,,,,,,,,,,,,
113.004821,1769962378.288393,,,,,,,,,,,,,,,,,,,,
114.004856,1769962379.288430,,,,,,,,,,,,,,,,,,,,
115.004822,1769962380.288394,,,,,,,,,,,,,,,,,,,,
116.004857,1769962381.288431,,,,,,,,,,,,,,,,,,,,
117.004857,1769962382.288433,,,,,,,,,,,,,,,,,,,,
118.004814,1769962383.288387,,,,,,,,,,,,,,,,,,,,
119.004824,1769962384.288398,,,,,,,,,,,,,,,,,,,,
120.004819,1769962385.288393,,,,,,,,,,,,,,,,,,,,
121.004845,1769962386.288418,,,,,,,,,,,,,,,,,,,,
122.004818,1769962387.288390,,,,,,,,,,,,,,,,,,,,
123.004810,1769962388.288383,,,,,,,,,,,,,,,,,,,,
124.005433,1769962389.289007,,,,,,,,,,,,,,,,,,,,
125.004899,1769962390.288473,,,,,,,,,,,,,,,,,,,,
126.004818,1769962391.288391,,,,,,,,,,,,,,,,,,,,
127.004872,1769962392.288448,,,,,,,,,,,,,,,,,,,,
128.004866,1769962393.288440,,,,,,,,,,,,,,,,,,,,
129.004833,1769962394.288406,,,,,,,,,,,,,,,,,,,,
130.004900,1769962395.288474,,,,,,,,,,,,,,,,,,,,
131.004856,1769962396.288429,,,,,,,,,,,,,,,,,,,,
132.004888,1769962397.288462,,,,,,,,,,,,,,,,,,,,
133.004850,1769962398.288424,,,,,,,,,,,,,,,,,,,,
134.004824,1769962399.288397,,,,,,,,,,,,,,,,,,,,
135.004816,1769962400.288389,,,,,,,,,,,,,,,,,,,,
136.004859,1769962401.288434,,,,,,,,,,,,,,,,,,,,
137.004852,1769962402.288426,,,,,,,,,,,,,,,,,,,,
138.004854,1769962403.288428,,,,,,,,,,,,,,,,,,,,
139.004820,1769962404.288392,,,,,,,,,,,,,,,,,,,,
140.004834,1769962405.288407,,,,,,,,,,,,,,,,,,,,
141.004931,1769962406.288506,,,,,,,,,,,,,,,,,,,,
142.004817,1769962407.288389,,,,,,,,,,,,,,,,,,,,
143.004823,1769962408.288395,,,,,,,,,,,,,,,,,,,,
144.004823,1769962409.288396,,,,,,,,,,,,,,,,,,,,
145.004825,1769962410.288399,,,,,,,,,,,,,,,,,,,,
146.006250,1769962411.289824,,,,,,,,,,,,,,,,,,,,
147.004826,1769962412.288399,,,,,,,,,,,,,,,,,,,,
148.004814,1769962413.288387,,,,,,,,,,,,,,,,,,,,
149.004820,1769962414.288393,,,,,,,,,,,,,,,,,,,,
150.004820,1769962415.288393,,,,,,,,,,,,,,,,,,,,
151.004845,1769962416.288419,,,,,,,,,,,,,,,,,,,,
152.004819,1769962417.288392,,,,,,,,,,,,,,,,,,,,
153.004818,1769962418.288392,,,,,,,,,,,,,,,,,,,,
154.004840,1769962419.288413,,,,,,,,,,,,,,,,,,,,
155.004887,1769962420.288462,,,,,,,,,,,,,,,,,,,,
156.004858,1769962421.288432,,,,,,,,,,,,,,,,,,,,
157.004830,1769962422.288403,,,,,,,,,,,,,,,,,,,,
158.004842,1769962423.288415,,,,,,,,,,,,,,,,,,,,
159.004871,1769962424.288445,,,,,,,,,,,,,,,,,,,,
160.004824,1769962425.288398,,,,,,,,,,,,,,,,,,,,
161.004833,1769962426.288405,,,,,,,,,,,,,,,,,,,,
162.004814,1769962427.288388,,,,,,,,,,,,,,,,,,,,
163.004817,1769962428.288390,,,,,,,,,,,,,,,,,,,,
164.004841,1769962429.288415,,,,,,,,,,,,,,,,,,,,
165.004869,1769962430.288443,,,,,,,,,,,,,,,,,,,,
166.004832,1769962431.288405,,,,,,,,,,,,,,,,,,,,
167.004832,1769962432.288405,,,,,,,,,,,,,,,,,,,,
168.004840,1769962433.288413,,,,,,,,,,,,,,,,,,,,
169.004855,1769962434.288429,,,,,,,,,,,,,,,,,,,,
170.004900,1769962435.288475,,,,,,,,,,,,,,,,,,,,
171.004845,1769962436.288418,,,,,,,,,,,,,,,,,,,,
172.004893,1769962437.288466,,,,,,,,,,,,,,,,,,,,
173.004851,1769962438.288425,,,,,,,,,,,,,,,,,,,,
174.004821,1769962439.288394,,,,,,,,,,,,,,,,,,,,
175.004854,1769962440.288427,,,,,,,,,,,,,,,,,,,,
176.004825,1769962441.288398,,,,,,,,,,,,,,,,,,,,
177.004840,1769962442.288414,,,,,,,,,,,,,,,,,,,,
178.004871,1769962443.288445,,,,,,,,,,,,,,,,,,,,
179.004851,1769962444.288424,,,,,,,,,,,,,,,,,,,,
180.004844,1769962445.288418,,,,,,,,,,,,,,,,,,,,
181.004817,1769962446.288391,,,,,,,,,,,,,,,,,,,,
182.004848,1769962447.288421,,,,,,,,,,,,,,,,,,,,
183.004841,1769962448.288415,,,,,,,,,,,,,,,,,,,,
