time_s,teleport_event,global_sp_mps,plan_idx,plan_name,leader_speed_mps,leader_in_band,leader_stable_s,emergency_active,throttle_0,brake_0,cmd_age_ms_0,throttle_rx_dt_ms_0,brake_rx_dt_ms_0,cmd_pair_rx_dt_ms_0,speed_0,accel_x_0,local_sp_0,dist_to_prev_0,desired_dist_0,dist_err_0,vel_diff_0,ttc_0,throttle_1,brake_1,cmd_age_ms_1,throttle_rx_dt_ms_1,brake_rx_dt_ms_1,cmd_pair_rx_dt_ms_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,dist_err_1,vel_diff_1,ttc_1,throttle_2,brake_2,cmd_age_ms_2,throttle_rx_dt_ms_2,brake_rx_dt_ms_2,cmd_pair_rx_dt_ms_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,dist_err_2,vel_diff_2,ttc_2,throttle_3,brake_3,cmd_age_ms_3,throttle_rx_dt_ms_3,brake_rx_dt_ms_3,cmd_pair_rx_dt_ms_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3,dist_err_3,vel_diff_3,ttc_3
0.1000,0,0.0000,0,start_stop,0.9315,0,0.0000,0,0.0000,0.0350,1.2463,9.8479,8.0417,1.4346,0.9315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2808,0.0000,7.8732,10.5238,10.5257,0.0125,0.9315,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2808,0.0000,7.8829,10.5309,10.5312,0.0108,0.9315,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3601,0.0000,7.8954,10.5261,10.5207,0.0108,0.9315,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.1100,0,0.0000,0,start_stop,1.0293,0,0.0000,0,0.0000,0.0350,10.2901,9.8479,8.0417,1.4346,1.0293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2714,0.0000,8.3909,9.9512,9.9522,0.0136,1.0293,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2714,0.0000,8.4101,9.9482,9.9489,0.0116,1.0293,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3507,0.0000,8.4349,9.9490,9.9488,0.0106,1.0293,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.1200,0,0.0000,0,start_stop,1.1272,0,0.0000,0,0.0000,0.0350,1.4641,6.7121,8.3499,1.6583,1.1272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2619,0.0000,8.1540,10.6703,10.6736,0.0170,1.1272,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2619,0.0000,8.1555,10.6846,10.6906,0.0176,1.1272,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3412,0.0000,8.1506,10.7037,10.7101,0.0171,1.1272,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.1300,0,0.0000,0,start_stop,1.2251,0,0.0000,0,0.0000,0.0350,1.0305,10.6019,10.1400,1.1964,1.2251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2523,0.0000,8.0674,10.2612,10.2565,0.0123,1.2251,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2523,0.0000,8.0794,10.2434,10.2363,0.0104,1.2251,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3412,0.0000,18.2987,10.7037,10.7101,0.0171,1.2251,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.1400,0,0.0000,0,start_stop,1.3231,0,0.0000,0,0.0000,0.0350,1.0600,9.9729,10.0053,1.2288,1.3231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2426,0.0000,7.4315,10.6309,10.6378,0.0192,1.3231,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2426,0.0000,7.4311,10.6419,10.6459,0.0144,1.3231,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3317,0.0000,7.4268,20.8709,20.8661,0.0123,1.3231,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.1500,0,0.0000,0,start_stop,1.4210,0,0.0000,0,0.0000,0.0350,0.4310,10.8061,10.0053,9.5774,1.4210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2329,0.0000,8.0719,9.5431,9.5373,0.0135,1.4210,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2329,0.0000,8.0900,9.5367,9.5348,0.0125,1.4210,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3220,0.0000,8.0988,9.5324,9.5323,0.0123,1.4210,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.1600,0,0.0000,0,start_stop,1.5190,0,0.0000,0,0.0000,0.0350,0.9629,9.5155,12.2482,6.8447,1.5190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2232,0.0000,7.7925,10.3242,10.3241,0.0135,1.5190,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2232,0.0000,7.8127,10.3236,10.3229,0.0118,1.5190,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3124,0.0000,7.8292,10.3233,10.3213,0.0103,1.5190,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.1700,0,0.0000,0,start_stop,1.6170,0,0.0000,0,0.0000,0.0350,1.0099,10.2160,7.8578,1.1692,1.6170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2134,0.0000,7.6857,10.3631,10.3681,0.0185,1.6170,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2134,0.0000,7.6754,10.3743,10.3821,0.0196,1.6170,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3026,0.0000,7.6594,10.3915,10.3985,0.0174,1.6170,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.1800,0,0.0000,0,start_stop,1.7150,0,0.0000,0,0.0000,0.0350,1.7346,10.1671,10.9028,1.9049,1.7150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2035,0.0000,8.9498,9.6368,9.6325,0.0142,1.7150,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2035,0.0000,8.9501,9.6351,9.6260,0.0105,1.7150,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2929,0.0000,8.9552,9.6173,9.6133,0.0133,1.7150,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.1900,0,0.0000,0,start_stop,1.8130,0,0.0000,0,0.0000,0.0350,1.0717,10.7324,10.0543,1.2267,1.8130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.1936,0.0000,7.7293,11.2874,11.2857,0.0125,1.8130,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.1936,0.0000,7.7356,11.2752,11.2753,0.0106,1.8130,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2830,0.0000,7.7394,11.2742,11.2710,0.0101,1.8130,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
