time_s,throttle_lead,brake_lead,speed_lead,accel_x_lead,local_sp_lead,dist_to_prev_lead,desired_dist_lead,throttle_1,brake_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,throttle_2,brake_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,throttle_3,brake_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3,throttle_4,brake_4,speed_4,accel_x_4,local_sp_4,dist_to_prev_4,desired_dist_4
0.1300,0.0000,0.5884,1.3720,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.3720,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.3720,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.3720,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.3720,0.0000,-22.5000,6.0000,10.5000
0.1400,0.0000,0.6367,1.4700,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.4700,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.4700,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.4700,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.4700,0.0000,-22.5000,6.0000,10.5000
0.1500,0.0000,0.6853,1.5680,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.5680,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.5680,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.5680,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.5680,0.0000,-22.5000,6.0000,10.5000
0.1600,0.0000,0.7345,1.6660,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.6660,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.6660,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.6660,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.6660,0.0000,-22.5000,6.0000,10.5000
0.1700,0.0000,0.7840,1.7640,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.7640,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.7640,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.7640,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.7640,0.0000,-22.5000,6.0000,10.5000
0.1800,0.0000,0.8340,1.8620,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.8620,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.8620,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.8620,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.8620,0.0000,-22.5000,6.0000,10.5000
0.1900,0.0000,0.8844,1.9600,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.9600,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.9600,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.9600,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,1.9600,0.0000,-22.5000,6.0000,10.5000
0.2000,0.0000,0.9352,1.7713,-0.0016,0.0000,0.0000,0.0000,0.0000,1.0000,1.7713,-0.0016,-22.5000,6.0000,10.5000,0.0000,1.0000,1.7713,-0.0016,-22.5000,6.0000,10.5000,0.0000,1.0000,1.7713,-0.0016,-22.5000,6.0000,10.5000,0.0000,1.0000,1.7713,-0.0016,-22.5000,6.0000,10.5000
0.2100,0.0000,0.8615,1.5157,0.0003,0.0000,0.0000,0.0000,0.0000,1.0000,1.5157,0.0003,-22.5000,6.0000,10.5000,0.0000,1.0000,1.5157,0.0003,-22.5000,6.0000,10.5000,0.0000,1.0000,1.5157,0.0003,-22.5000,6.0000,10.5000,0.0000,1.0000,1.5157,0.0003,-22.5000,6.0000,10.5000
0.2200,0.0000,0.7579,1.2915,0.0003,0.0000,0.0000,0.0000,0.0000,0.9947,1.2915,0.0003,-22.5000,6.0000,10.5000,0.0000,0.9947,1.2915,0.0003,-22.5000,6.0000,10.5000,0.0000,0.9947,1.2915,0.0004,-22.5000,6.0000,10.5000,0.0000,0.9947,1.2915,0.0003,-22.5000,6.0000,10.5000
0.2300,0.0000,0.6669,1.0951,0.0003,0.0000,0.0000,0.0000,0.0000,1.0000,1.0951,0.0003,-22.5000,6.0000,10.5000,0.0000,1.0000,1.0951,0.0003,-22.5000,6.0000,10.5000,0.0000,1.0000,1.0951,0.0003,-22.5000,6.0000,10.5000,0.0000,1.0000,1.0951,0.0003,-22.5000,6.0000,10.5000
0.2400,0.0000,0.5869,0.9233,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0.9233,0.0002,-22.5000,6.0000,10.5000,0.0000,1.0000,0.9233,0.0002,-22.5000,6.0000,10.5000,0.0000,1.0000,0.9233,0.0002,-22.5000,6.0000,10.5000,0.0000,1.0000,0.9233,0.0002,-22.5000,6.0000,10.5000
0.2500,0.0000,0.5169,0.7734,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0.7734,0.0002,-22.5000,6.0000,10.5000,0.0000,1.0000,0.7734,0.0002,-22.5000,6.0000,10.5000,0.0000,1.0000,0.7734,0.0001,-22.5000,6.0000,10.5000,0.0000,1.0000,0.7734,0.0002,-22.5000,6.0000,10.5000
0.2600,0.0000,0.4556,0.6428,0.0001,0.0000,0.0000,0.0000,0.0000,1.0000,0.6428,0.0001,-22.5000,6.0000,10.5000,0.0000,1.0000,0.6428,0.0001,-22.5000,6.0000,10.5000,0.0000,1.0000,0.6428,0.0001,-22.5000,6.0000,10.5000,0.0000,1.0000,0.6428,0.0001,-22.5000,6.0000,10.5000
0.2700,0.0000,0.4021,0.5293,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.5293,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.5293,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.5293,0.0001,-22.5000,6.0000,10.5000,0.0000,1.0000,0.5293,0.0000,-22.5000,6.0000,10.5000
0.2800,0.0000,0.3555,0.4308,0.0001,0.0000,0.0000,0.0000,0.0000,1.0000,0.4308,0.0001,-22.5000,6.0000,10.5000,0.0000,1.0000,0.4308,0.0001,-22.5000,6.0000,10.5000,0.0000,1.0000,0.4308,0.0001,-22.5000,6.0000,10.5000,0.0000,1.0000,0.4308,0.0001,-22.5000,6.0000,10.5000
0.2900,0.0000,0.3149,0.3457,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3457,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.3457,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.3457,0.0001,-22.5000,6.0000,10.5000,0.0000,1.0000,0.3457,0.0000,-22.5000,6.0000,10.5000
