time_s,ego_throttle,ego_setpoint_speed,ego_brake,ego_speed,ego_accel_abs,lead_throttle,lead_setpoint_speed,lead_brake,lead_speed,lead_accel_abs,lead_dist
0.4500,0.0269,0.0483,0.0000,0.0298,0.2195,0.0000,0.0000,0.0396,0.0483,0.0623,19.9953
0.4600,0.0275,0.0485,0.0000,0.0277,0.2067,0.0000,0.0000,0.0397,0.0485,0.0144,19.9953
0.4700,0.0280,0.0482,0.0000,0.0258,0.1932,0.0000,0.0000,0.0398,0.0482,0.0270,19.9953
0.4800,0.0283,0.0476,0.0000,0.0239,0.1818,0.0000,0.0000,0.0397,0.0476,0.0573,19.9953
0.4900,0.0285,0.0467,0.0000,0.0222,0.1704,0.0000,0.0000,0.0396,0.0467,0.0914,19.9953
0.5000,0.0287,0.0456,0.0000,0.0207,0.1537,0.0000,0.0000,0.0394,0.0456,0.1078,19.9952
0.5100,0.0288,0.0443,0.0000,0.0192,0.1492,0.0000,0.0000,0.0392,0.0443,0.1293,19.9952
0.5200,0.0288,0.0430,0.0000,0.0178,0.1404,0.0000,0.0000,0.0389,0.0430,0.1370,19.9952
0.5300,0.0288,0.0414,0.0000,0.0165,0.1273,0.0000,0.0000,0.0386,0.0414,0.1529,19.9952
0.5400,0.0287,0.0399,0.0000,0.0154,0.1179,0.0000,0.0000,0.0383,0.0399,0.1561,19.9952
0.5500,0.0286,0.0382,0.0000,0.0142,0.1113,0.0000,0.0000,0.0380,0.0382,0.1660,19.9952
0.5600,0.0284,0.0366,0.0000,0.0132,0.1057,0.0000,0.0000,0.0376,0.0366,0.1610,19.9952
0.5700,0.0283,0.0349,0.0000,0.0122,0.0991,0.0000,0.0000,0.0373,0.0349,0.1707,19.9952
0.5800,0.0281,0.0333,0.0000,0.0113,0.0881,0.0000,0.0000,0.0369,0.0333,0.1630,19.9952
0.5900,0.0279,0.0316,0.0000,0.0105,0.0865,0.0000,0.0000,0.0365,0.0316,0.1645,19.9952
0.6000,0.0277,0.0300,0.0000,0.0097,0.0796,0.0000,0.0000,0.0362,0.0300,0.1578,19.9952
0.6100,0.0275,0.0284,0.0000,0.0090,0.0700,0.0000,0.0000,0.0358,0.0284,0.1594,19.9952
0.6200,0.0273,0.0269,0.0000,0.0083,0.0656,0.0000,0.0000,0.0355,0.0269,0.1562,19.9952
0.6300,0.0271,0.0254,0.0000,0.0077,0.0597,0.0000,0.0000,0.0352,0.0254,0.1459,19.9952
0.6400,0.0269,0.0240,0.0000,0.0071,0.0564,0.0000,0.0000,0.0349,0.0240,0.1438,19.9952
0.6500,0.0267,0.0226,0.0000,0.0066,0.0550,0.0000,0.0000,0.0346,0.0226,0.1368,19.9952
0.6600,0.0265,0.0213,0.0000,0.0061,0.0496,0.0000,0.0000,0.0343,0.0213,0.1318,19.9952
0.6700,0.0263,0.0200,0.0000,0.0056,0.0479,0.0000,0.0000,0.0340,0.0200,0.1262,19.9952
0.6800,0.0261,0.0188,0.0000,0.0052,0.0431,0.0000,0.0000,0.0337,0.0188,0.1217,19.9951
0.6900,0.0259,0.0177,0.0000,0.0048,0.0410,0.0000,0.0000,0.0334,0.0177,0.1164,19.9952
0.7000,0.0257,0.0165,0.0000,0.0044,0.0364,0.0000,0.0000,0.0332,0.0165,0.1111,19.9951
0.7100,0.0256,0.0155,0.0000,0.0041,0.0331,0.0000,0.0000,0.0330,0.0155,0.1047,19.9951
0.7200,0.0254,0.0145,0.0000,0.0038,0.0296,0.0000,0.0000,0.0327,0.0145,0.0975,19.9951
0.7300,0.0252,0.0136,0.0000,0.0035,0.0295,0.0000,0.0000,0.0325,0.0136,0.0960,19.9951
